Date,State,Cases,Deaths,Recovered,Vulnerability
2020-10-01,Alabama,1818,27,1575,Low
2020-10-02,Alabama,6048,53,5571,Low
2020-10-03,Alabama,921,7,858,Low
2020-10-04,Alabama,678,10,588,Low
2020-10-05,Alabama,1655,15,1520,Low
2020-10-06,Alabama,613,15,478,Moderate
2020-10-07,Alabama,924,40,564,Moderate
2020-10-08,Alabama,3660,44,3264,Low
2020-10-09,Alabama,1204,42,826,Moderate
,Alabama,21,0,21,Low
2020-10-10,Alabama,639,13,522,Low
2020-10-11,Alabama,1640,30,1370,Low
2020-10-12,Alabama,361,12,253,Moderate
2020-10-13,Alabama,1143,16,999,Low
2020-10-14,Alabama,608,9,527,Low
2020-10-15,Alabama,424,6,370,Low
,,21,0,21,Low
2020-10-16,Alabama,1452,5,1407,Low
2020-10-17,Alabama,1722,26,1488,Low
2020-10-18,Alabama,540,12,432,Low
2020-10-19,Alabama,179,3,152,Low
2020-10-20,Alabama,1477,28,1225,Low
2020-10-21,Alabama,546,30,276,Moderate
2020-10-22,Alabama,1946,20,1766,Low
2020-10-23,Alabama,1504,44,1108,Moderate
2020-10-24,Alabama,1504,,,Moderate
2020-10-24,Alabama,1806,26,1572,Low
2020-10-25,Alabama,2561,21,2372,Low
2020-10-26,Alabama,2817,50,2367,Low
2020-10-27,Alabama,1650,26,1416,Low
2020-10-28,Alabama,3669,45,3264,Low
2020-10-29,Alabama,,0,,Low
2020-10-29,Alabama,476,10,386,Low
2020-10-30,Alabama,1836,30,1566,Low
2020-10-31,Alabama,730,6,676,Low
2020-11-01,Alabama,307,15,172,Moderate
2020-11-02,Alabama,665,28,413,Moderate
2020-11-03,Alabama,557,5,512,Low
2020-11-04,Alabama,3331,23,3124,Low
2020-11-05,Alabama,1670,12,1562,Low
2020-11-06,Alabama,20584,354,17398,Critical
2020-11-07,Alabama,397,2,379,Low
2020-11-08,Alabama,1807,37,1474,Low
,,25,0.3,22.3,Low
2020-11-09,Alabama,652,26,418,Moderate
2020-11-10,Alabama,6117,61,5568,Critical
2020-11-11,Alabama,2229,22,2031,Low
2020-11-12,Alabama,662,27,419,Moderate
2020-11-13,Alabama,491,18,329,Moderate
2020-11-14,Alabama,8182,78,7480,Critical
2020-11-15,Alabama,741,19,570,Moderate
2020-11-16,Alabama,992,29,731,Moderate
2020-11-17,Alabama,4025,45,3620,Low
2020-11-18,Alabama,13692,296,11028,Critical
2020-11-19,Alabama,595,8,523,Low
2020-11-20,Alabama,8988,186,7314,Critical
2020-11-21,Alabama,3420,31,3141,Low
2020-11-22,Alabama,543,6,489,Low
2020-11-23,Alabama,679,15,544,Low
2020-11-24,Alabama,1234,12,1126,Low
2020-11-25,Alabama,691,13,574,Low
2020-11-26,Alabama,1814,3,1787,Low
2020-11-27,Alabama,6321,51,5862,Low
2020-11-28,Alabama,2447,37,2114,Low
2020-11-29,Alabama,437,21,248,Moderate
2020-11-30,Alabama,2247,30,1977,Low
,Alabama,56,2,38,Moderate
2020-12-01,Alabama,1190,85,425,Critical
2020-12-02,Alabama,9131,119,8060,Critical
2020-12-03,Alabama,2415,88,1623,Critical
2020-12-04,Alabama,580,12,472,Low
2020-12-05,Alabama,537,11,438,Low
2020-12-06,Alabama,763,12,655,Low
2020-12-07,Alabama,14,0,14,Low
2020-12-08,Alabama,95,0,95,Low
2020-12-09,Alabama,4784,36,4460,Low
2020-12-10,Alabama,123,1,114,Low
2020-12-11,Alabama,95,0,95,Low
2020-12-12,Alabama,14,0,14,Low
2020-12-13,Alabama,30,0,30,Low
2020-12-14,Alabama,1279,11,1180,Low
2020-12-15,Alabama,10,0,10,Low
2020-12-16,Alabama,382,1,373,Low
2020-12-17,Alabama,634,1,625,Low
2020-12-18,Alabama,69,0,69,Low
2020-12-19,Alabama,72,0,72,Low
2020-12-20,Alabama,14,0,14,Low
2020-12-21,Alabama,663,2,645,Low
2020-12-22,Alabama,86,0,86,Low
2020-12-23,Alabama,152,0,152,Low
2020-12-24,Alabama,142,0,142,Low
2020-12-25,Alabama,11,0,11,Low
2020-12-26,Alabama,31,0,31,Low
2020-12-27,Alabama,69,0,69,Low
